   -0.25000000    0.00000000
   -0.24752475    0.00867438
   -0.24009901    0.01695656
   -0.23019802    0.02348934
   -0.22029703    0.02827438
   -0.21039604    0.03213668
   -0.20049505    0.03539637
   -0.19059406    0.03821806
   -0.18069307    0.04069992
   -0.17079208    0.04290621
   -0.16089109    0.04488181
   -0.15099010    0.04665965
   -0.14108911    0.04826478
   -0.13118812    0.04971682
   -0.12128713    0.05103155
   -0.11138614    0.05222190
   -0.10148515    0.05329866
   -0.09158416    0.05427097
   -0.08168317    0.05514665
   -0.07178218    0.05593249
   -0.06188119    0.05663444
   -0.05198020    0.05725776
   -0.04207921    0.05780714
   -0.03217822    0.05828678
   -0.02227723    0.05870047
   -0.01237624    0.05905165
   -0.00247525    0.05934348
    0.00742574    0.05957882
    0.01732673    0.05976035
    0.02722772    0.05989051
    0.03712871    0.05997158
    0.04702970    0.06000569
    0.05693069    0.05999480
    0.06683168    0.05994078
    0.07673267    0.05984536
    0.08663366    0.05971016
    0.09653465    0.05953674
    0.10643564    0.05932653
    0.11633663    0.05908091
    0.12623762    0.05880118
    0.13613861    0.05848856
    0.14603960    0.05814422
    0.15594059    0.05776927
    0.16584158    0.05736475
    0.17574257    0.05693166
    0.18564356    0.05647095
    0.19554455    0.05598353
    0.20544554    0.05547025
    0.21534653    0.05493192
    0.22524752    0.05436934
    0.23514851    0.05378324
    0.24504950    0.05317431
    0.25495050    0.05254324
    0.26485149    0.05189065
    0.27475248    0.05121716
    0.28465347    0.05052333
    0.29455446    0.04980972
    0.30445545    0.04907683
    0.31435644    0.04832515
    0.32425743    0.04755514
    0.33415842    0.04676724
    0.34405941    0.04596186
    0.35396040    0.04513937
    0.36386139    0.04430015
    0.37376238    0.04344452
    0.38366337    0.04257280
    0.39356436    0.04168528
    0.40346535    0.04078222
    0.41336634    0.03986388
    0.42326733    0.03893047
    0.43316832    0.03798220
    0.44306931    0.03701925
    0.45297030    0.03604179
    0.46287129    0.03504995
    0.47277228    0.03404386
    0.48267327    0.03302362
    0.49257426    0.03198931
    0.50247525    0.03094101
    0.51237624    0.02987874
    0.52227723    0.02880255
    0.53217822    0.02771243
    0.54207921    0.02660838
    0.55198020    0.02549037
    0.56188119    0.02435835
    0.57178218    0.02321226
    0.58168317    0.02205201
    0.59158416    0.02087752
    0.60148515    0.01968865
    0.61138614    0.01848528
    0.62128713    0.01726726
    0.63118812    0.01603441
    0.64108911    0.01478656
    0.65099010    0.01352349
    0.66089109    0.01224500
    0.67079208    0.01095084
    0.68069307    0.00964077
    0.69059406    0.00831451
    0.70049505    0.00697179
    0.71039604    0.00561229
    0.72029703    0.00423570
    0.73019802    0.00284170
    0.74009901    0.00142992
    0.75000000    0.00000000
    0.74009901   -0.00142992
    0.73019802   -0.00284170
    0.72029703   -0.00423570
    0.71039604   -0.00561229
    0.70049505   -0.00697179
    0.69059406   -0.00831451
    0.68069307   -0.00964077
    0.67079208   -0.01095084
    0.66089109   -0.01224500
    0.65099010   -0.01352349
    0.64108911   -0.01478656
    0.63118812   -0.01603441
    0.62128713   -0.01726726
    0.61138614   -0.01848528
    0.60148515   -0.01968865
    0.59158416   -0.02087752
    0.58168317   -0.02205201
    0.57178218   -0.02321226
    0.56188119   -0.02435835
    0.55198020   -0.02549037
    0.54207921   -0.02660838
    0.53217822   -0.02771243
    0.52227723   -0.02880255
    0.51237624   -0.02987874
    0.50247525   -0.03094101
    0.49257426   -0.03198931
    0.48267327   -0.03302362
    0.47277228   -0.03404386
    0.46287129   -0.03504995
    0.45297030   -0.03604179
    0.44306931   -0.03701925
    0.43316832   -0.03798220
    0.42326733   -0.03893047
    0.41336634   -0.03986388
    0.40346535   -0.04078222
    0.39356436   -0.04168528
    0.38366337   -0.04257280
    0.37376238   -0.04344452
    0.36386139   -0.04430015
    0.35396040   -0.04513937
    0.34405941   -0.04596186
    0.33415842   -0.04676724
    0.32425743   -0.04755514
    0.31435644   -0.04832515
    0.30445545   -0.04907683
    0.29455446   -0.04980972
    0.28465347   -0.05052333
    0.27475248   -0.05121716
    0.26485149   -0.05189065
    0.25495050   -0.05254324
    0.24504950   -0.05317431
    0.23514851   -0.05378324
    0.22524752   -0.05436934
    0.21534653   -0.05493192
    0.20544554   -0.05547025
    0.19554455   -0.05598353
    0.18564356   -0.05647095
    0.17574257   -0.05693166
    0.16584158   -0.05736475
    0.15594059   -0.05776927
    0.14603960   -0.05814422
    0.13613861   -0.05848856
    0.12623762   -0.05880118
    0.11633663   -0.05908091
    0.10643564   -0.05932653
    0.09653465   -0.05953674
    0.08663366   -0.05971016
    0.07673267   -0.05984536
    0.06683168   -0.05994078
